new_id	phase	F__Bacteroidaceae	F__Veillonellaceae	F__Rikenellaceae	F__Enterobacteriaceae	F__Ruminococcaceae	F__Porphyromonadaceae	F__Acidaminococcaceae	F__Sutterellaceae	F__Lachnospiraceae	F__Verrucomicrobiaceae	F__Streptococcaceae	F__Prevotellaceae	O__Clostridiales	O__Burkholderiales	F__Pasteurellaceae	F__Coriobacteriaceae	F__Erysipelotrichaceae	C__Alphaproteobacteria	F__Peptostreptococcaceae	P__Firmicutes	F__Lactobacillaceae	F__Desulfovibrionaceae	O__Bacteroidales	F__Pseudomonadaceae	F__Enterococcaceae	F__Halomonadaceae	F__Clostridiaceae_1	F__Oxalobacteraceae	P__Proteobacteria	F__Fusobacteriaceae	F__Clostridiales_Incertae_Sedis_XIII	F__Shewanellaceae	F__Moraxellaceae	F__Staphylococcaceae	P__Bacteroidetes	F__Anaeroplasmataceae	K__Bacteria	F__Spirochaetaceae	F__Succinivibrionaceae	F__Streptophyta	F__Clostridiales_Incertae_Sedis_XII	F__Comamonadaceae	F__Micrococcaceae	F__Flavobacteriaceae	F__Burkholderiaceae	F__Bifidobacteriaceae	F__Synergistaceae	F__Propionibacteriaceae	F__Catabacteriaceae	F__Peptococcaceae_1	F__Leuconostocaceae	F__Carnobacteriaceae	C__Clostridia	F__Actinomycetaceae	C__Gammaproteobacteria	P__Candidatus_Saccharibacteria	F__Bacillales_Incertae_Sedis_XI	C__Mollicutes	F__Campylobacteraceae	F__Christensenellaceae	F__Victivallaceae	F__Clostridiales_Incertae_Sedis_XI	F__Cytophagaceae	F__Microbacteriaceae	O__Cytophagales	F__Corynebacteriaceae	C__Bacilli	F__Helicobacteraceae	F__Chitinophagaceae	F__Puniceicoccaceae	F__Elusimicrobiaceae	F__Xanthomonadaceae	F__Marinilabiliaceae	F__Leptotrichiaceae	F__Neisseriaceae	F__Sphingomonadaceae	F__Eubacteriaceae	F__Caulobacteraceae	F__Bacillales_Incertae_Sedis_X	O__Gammaproteobacteria_incertae_sedis	F__Brucellaceae	F__Planococcaceae	F__Aeromonadaceae	O__Bacillales	F__Rhodobacteraceae	F__Cryomorphaceae	P__Parcubacteria	F__Peptoniphilaceae	F__Aerococcaceae	F__Alcaligenaceae	C__Betaproteobacteria	F__Sphingobacteriaceae	F__Bacillaceae_1	F__Oceanospirillaceae	F__Legionellaceae	F__Cyclobacteriaceae	F__Acetobacteraceae	F__Deferribacteraceae	F__Bacillariophyta	F__Thermoactinomycetaceae_1	F__Promicromonosporaceae	F__Rhizobiaceae	F__Deinococcaceae	F__Listeriaceae	F__Brevibacteriaceae	F__Nocardioidaceae	O__Myxococcales	F__Coxiellaceae	F__Bacteriovoracaceae	O__Lactobacillales	F__Rhodocyclaceae	F__Syntrophomonadaceae	O__Rhizobiales	O__Flavobacteriales	F__Labilitrichaceae	F__Bradyrhizobiaceae	F__Intrasporangiaceae	F__Methylobacteriaceae	O__Actinomycetales	NA	F__Pseudoalteromonadaceae	F__Clostridiaceae_4	F__Bdellovibrionaceae	F__Psychromonadaceae	O__Gp16	F__Hyphomicrobiaceae	C__Epsilonproteobacteria	F__Rickettsiaceae	C__Deltaproteobacteria	F__Methylococcaceae	F__Vibrionaceae	P__Microgenomates	C__Cyanobacteria	F__Chloroflexaceae	F__Dermacoccaceae	F__Burkholderiales_incertae_sedis	F__Holophagaceae	F__Nocardiaceae	O__Blastocatella	F__Cardiobacteriaceae	F__Armatimonadaceae	O__Gp6	F__Solirubrobacteraceae	F__Methylophilaceae
2020-023_PSC_0001	BL	5195	2236	354	0	4262	190	0	188	1756	0	123	0	5	0	205	5	93	0	15	90	69	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0002	BL	8643	701	1179	0	6960	1261	0	103	935	0	180	5	0	0	12323	32	44	0	284	0	143	0	0	0	1293	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	11	0	24	0	13	7	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0003	BL	2259	0	549	682	4525	910	125	8	760	0	29	0	1867	0	0	28	115	4	0	120	0	29	0	0	0	0	13	0	21	0	25	0	0	0	0	0	312	0	0	0	7	0	0	0	7	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0005	BL	4921	793	2801	1865	5151	3727	0	313	1292	21	36	4502	726	0	54	247	320	0	94	15	41	145	2400	0	0	0	49	0	0	0	69	0	0	0	0	0	0	0	0	0	20	0	0	0	0	35	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0006	BL	1757	4	1330	2197	4068	394	153	169	2336	98	262	136	3852	0	0	1144	1181	19	0	3	0	9	29	0	0	0	0	15	14	0	305	0	17	0	0	0	38	0	0	0	16	0	5	0	0	34	9	0	30	0	3	0	0	0	0	18	0	0	0	31	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0007	BL	13945	10	0	4110	4383	975	0	0	6140	2	922	0	0	0	0	416	3508	0	109	125	12	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	2	0	0	0	0	0	52	0	27	0	62	18	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0010	BL	0	267	0	10309	6551	0	0	3	3758	0	35	3	0	0	839	0	589	0	23	0	0	0	0	0	296	0	165	0	0	2	0	0	0	0	0	0	10	0	0	0	0	0	0	5	36	11	0	18	0	0	0	0	0	50	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
2020-023_PSC_0012	BL	2754	1138	2191	7601	4175	2279	204	13	1490	875	715	15234	96	0	0	195	100	0	80	55	514	249	239	0	0	0	10	51	37	0	76	0	0	0	3	0	0	0	21	537	0	0	3	0	0	3	0	0	5	10	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0013	BL	5883	14	2835	1132	3212	2281	275	295	2354	737	155	0	3858	0	0	63	111	106	0	560	15	80	0	0	0	0	63	19	316	0	4	0	0	0	0	0	543	0	0	36	34	0	5	0	0	0	0	8	12	0	0	0	47	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0015	BL	5858	117	1243	5866	1917	1116	653	28	2334	8	83	357	1479	0	161	373	162	0	88	442	0	71	404	0	0	4	4	21	0	0	17	0	0	0	102	0	21	0	0	0	0	0	3	0	0	0	0	2	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
